model,feature,importance
ExtraTreesClassifier,nom_pipeline__Specimen type_Urinary & Genital,0.0027951147477560095
ExtraTreesClassifier,nom_pipeline__In_out_patient_Unknown,0.00246038347417034
ExtraTreesClassifier,nom_pipeline__Ward_Unknown,0.0019614215655057374
ExtraTreesClassifier,nom_pipeline__Specimen type_Gastrointestinal,0.0010717829235623848
ExtraTreesClassifier,nom_pipeline__Specimen type_General Fluid,0.0007422207705827107
ExtraTreesClassifier,nom_pipeline__Age Group_Unknown,0.0005290639524911551
ExtraTreesClassifier,nom_pipeline__Specimen type_HEENT & CNS,0.00017401017290054796
RandomForestClassifier,nom_pipeline__Phenotype_MSSA,0.8499634587938415
RandomForestClassifier,nom_pipeline__Age Group_65 to 84 Years,0.021854044248660887
RandomForestClassifier,nom_pipeline__Specimen type_Skin & Soft Tissue,0.014180445024535585
RandomForestClassifier,nom_pipeline__Specimen type_Respiratory,0.013923288696716885
RandomForestClassifier,nom_pipeline__Age Group_85 and Over,0.013327800895405315
RandomForestClassifier,nom_pipeline__Age Group_19 to 64 Years,0.009398032474429474
RandomForestClassifier,nom_pipeline__Ward_Pediatric General,0.008683095486500727
RandomForestClassifier,nom_pipeline__Sex_Male,0.008274285120256308
RandomForestClassifier,nom_pipeline__In_out_patient_Outpatient,0.006759230905904591
RandomForestClassifier,nom_pipeline__Age Group_3 to 12 Years,0.0059528396585179985
RandomForestClassifier,nom_pipeline__Year_2016,0.005095323920600797
RandomForestClassifier,nom_pipeline__Year_2017,0.005007924871833151
RandomForestClassifier,nom_pipeline__Year_2015,0.004868466079856858
RandomForestClassifier,nom_pipeline__Ward_ICU,0.004814236699049683
RandomForestClassifier,nom_pipeline__Ward_Medicine General,0.004378158135652044
RandomForestClassifier,nom_pipeline__Age Group_13 to 18 Years,0.004229890980950924
RandomForestClassifier,nom_pipeline__Ward_Surgery General,0.003846216207667411
RandomForestClassifier,nom_pipeline__Specimen type_Urinary & Genital,0.0034245436219143043
RandomForestClassifier,nom_pipeline__Ward_Pediatric ICU,0.0030370841965569567
RandomForestClassifier,nom_pipeline__In_out_patient_Unknown,0.002906164638027377
RandomForestClassifier,nom_pipeline__Ward_Unknown,0.0021410264549363606
RandomForestClassifier,nom_pipeline__Specimen type_Gastrointestinal,0.0017081528941258399
RandomForestClassifier,nom_pipeline__Specimen type_General Fluid,0.0012256861512469385
RandomForestClassifier,nom_pipeline__Age Group_Unknown,0.0008170783657796799
RandomForestClassifier,nom_pipeline__Specimen type_HEENT & CNS,0.0001835254770322415
