model,feature,importance
ExtraTreeClassifier,nom_pipeline__Age Group_13 to 18 Years,0.0
ExtraTreeClassifier,nom_pipeline__Ward_Emergency Room,0.0
ExtraTreeClassifier,nom_pipeline__Ward_Medicine General,0.0
ExtraTreeClassifier,nom_pipeline__Ward_Nursing Home / Rehab,0.0
ExtraTreeClassifier,nom_pipeline__Ward_Unknown,0.0
ExtraTreeClassifier,nom_pipeline__Specimen type_Gastrointestinal,0.0
ExtraTreeClassifier,nom_pipeline__Specimen type_HEENT & CNS,0.0
ExtraTreeClassifier,nom_pipeline__Specimen type_Musculoskeletal & Bone,0.0
ExtraTreeClassifier,nom_pipeline__Specimen type_Other,0.0
ExtraTreeClassifier,nom_pipeline__In_out_patient_Outpatient,0.0
ExtraTreeClassifier,nom_pipeline__Year_2012,0.0
ExtraTreeClassifier,nom_pipeline__Year_2015,0.0
ExtraTreesClassifier,nom_pipeline__Sex_Male,0.0806956228743914
ExtraTreesClassifier,nom_pipeline__Phenotype_ESBL,0.07005656067155888
ExtraTreesClassifier,nom_pipeline__Phenotype_GIM-Neg,0.046750490438970345
ExtraTreesClassifier,nom_pipeline__Specimen type_Urinary & Genital,0.039848734859566276
ExtraTreesClassifier,nom_pipeline__In_out_patient_Unknown,0.03809948196967534
ExtraTreesClassifier,nom_pipeline__Specimen type_Respiratory,0.037232811533680625
ExtraTreesClassifier,nom_pipeline__Age Group_19 to 64 Years,0.0343903012066408
ExtraTreesClassifier,nom_pipeline__Age Group_65 to 84 Years,0.03409925713523504
ExtraTreesClassifier,nom_pipeline__Specimen type_Skin & Soft Tissue,0.03386760541310146
ExtraTreesClassifier,nom_pipeline__Year_2014,0.032451983596015775
ExtraTreesClassifier,nom_pipeline__Phenotype_SPM-Neg,0.03201249680442435
ExtraTreesClassifier,nom_pipeline__Specimen type_Gastrointestinal,0.03200948515695794
ExtraTreesClassifier,nom_pipeline__Year_2013,0.03197272171406343
ExtraTreesClassifier,nom_pipeline__Year_2016,0.0315666200977411
ExtraTreesClassifier,nom_pipeline__Specimen type_General Fluid,0.03115987922649701
ExtraTreesClassifier,nom_pipeline__Age Group_3 to 12 Years,0.02931868703885836
ExtraTreesClassifier,nom_pipeline__Ward_Medicine General,0.027629316937611545
ExtraTreesClassifier,nom_pipeline__Year_2015,0.02614914635082971
ExtraTreesClassifier,nom_pipeline__Ward_ICU,0.02579027667953986
ExtraTreesClassifier,nom_pipeline__Ward_Pediatric General,0.024587937576692375
ExtraTreesClassifier,nom_pipeline__Year_2020,0.02451992844063572
ExtraTreesClassifier,nom_pipeline__Age Group_85 and Over,0.023826473413426714
ExtraTreesClassifier,nom_pipeline__Year_2012,0.02319185966502172
ExtraTreesClassifier,nom_pipeline__Year_2017,0.022679162834229494
ExtraTreesClassifier,nom_pipeline__Ward_Surgery General,0.02111319687178198
ExtraTreesClassifier,nom_pipeline__Age Group_Unknown,0.019347681792661338
ExtraTreesClassifier,nom_pipeline__Age Group_13 to 18 Years,0.019200399634508522
ExtraTreesClassifier,nom_pipeline__Ward_Emergency Room,0.01787168784277998
ExtraTreesClassifier,nom_pipeline__Ward_Unknown,0.016009876605483305
ExtraTreesClassifier,nom_pipeline__Year_2011,0.015070926108190847
ExtraTreesClassifier,nom_pipeline__Ward_Pediatric ICU,0.014918749656579024
ExtraTreesClassifier,nom_pipeline__In_out_patient_Outpatient,0.013001782417353534
ExtraTreesClassifier,nom_pipeline__Specimen type_Other,0.009353773258790036
ExtraTreesClassifier,nom_pipeline__Phenotype_NDM-Neg,0.005167594115299809
ExtraTreesClassifier,nom_pipeline__Specimen type_HEENT & CNS,0.0049853612452878775
ExtraTreesClassifier,nom_pipeline__Ward_Nursing Home / Rehab,0.003487897400902303
