model,subset_accuracy,hamming_loss,f1_micro,f1_macro,f1_weighted,jaccard_micro,stage
DecisionTreeClassifier,0.4044582043343653,0.14739938080495357,0.7333221307343304,0.43898961700585615,0.6898758086997353,0.5789334040859645,base
ExtraTreeClassifier,0.40507739938080495,0.14739938080495357,0.73302304715976,0.43826718968564976,0.6892073361491818,0.5785606798265026,base
ExtraTreesClassifier,0.40606811145510835,0.14664086687306502,0.7342255141261959,0.4387805043213372,0.6900032854061282,0.5800602890327157,base
RandomForestClassifier,0.4068111455108359,0.14674922600619195,0.7360801781737194,0.4431678815655036,0.6938533082109893,0.5823788546255506,base
KNeighborsClassifier,0.38575851393188854,0.15987616099071209,0.7111695284971196,0.4511832854634481,0.6850065300152027,0.5517944712060061,base
DecisionTreeClassifier,0.38972136222910214,0.1446904024767802,0.7379517227844907,0.43217583929669057,0.687010698345908,0.5847254309578817,tuned
ExtraTreeClassifier,0.4055727554179567,0.14506191950464395,0.7418812835697562,0.4328860463248698,0.689171326404451,0.5896751028986776,tuned
ExtraTreesClassifier,0.3996284829721362,0.14410216718266253,0.7428808175666345,0.4190241587538854,0.6791086651700045,0.5909390517203498,tuned
RandomForestClassifier,0.4065634674922601,0.1434829721362229,0.7403714181675584,0.4307597174681588,0.6869723786875125,0.5877696241939071,tuned
KNeighborsClassifier,0.4128792569659443,0.14975232198142416,0.7222668810289389,0.44420385333906764,0.6867874863109122,0.5652720981440704,tuned
